phrases,concepts
prostate medications,prostate
firehose effect,effect
only issue,only
inflamation of the prostate,prostate
father children,father
show stopper,show
turp years,turp
aggressive form,aggressive
side benefit,side
noticeable increase,increase
noticeable increase in luts,increase
increase in luts,increase
weak stream,weak stream
urine for a while,urine
phone screen,phone
phone screen with a urologist,phone
screen with a urologist,screen
psa in april,psa
months from the first test,months
different urologist,different
small slit,small
multiplanar multisequence images of the pelvis,pelvis
multisequence images of the pelvis,pelvis
images of the pelvis,pelvis
cc of gadavist,gadavist
prostate gland,prostate gland
prostate gland dimensions,prostate gland
gland dimensions,gland
cm prostate,prostate
cm prostate volume,prostate volume
prostate volume,prostate volume
ml psa,psa
ml psa density,psa density
psa density,psa density
transitional zone,transitional
bph nodules,bph
suspicious lesion,suspicious
peripheral zone,peripheral zone
suspicious prostatic lesions,suspicious
prostatic lesions,prostatic
t2 signal,signal
t2 signal within the peripheral zones,signal
signal within the peripheral zones,signal
peripheral zones,peripheral
extra-prostatic extension,extra
none seminal vesicles,none
seminal vesicles,seminal vesicles
unremarkable lymph,unremarkable
unremarkable lymph nodes,unremarkable
pelvic lymphadenopathy urinary bladder,pelvic
lymphadenopathy urinary bladder,lymphadenopathy
aggressive osseous lesions,aggressive
aggressive osseous lesions impression,aggressive
osseous lesions,osseous
osseous lesions impression,osseous
lesions impression,lesions
next retake,next
time psa,time
ml prostate,prostate
kind of procedure,kind
kind of procedure at some point,kind
procedure at some point,procedure
cancer history,cancer history
aquablation surgery on friday,surgery
private room,private room
way catheter,catheter
liter bags,liter
liter bags of clear solution,liter
bags of clear solution,bags
clear solution,clear
bladder through the catheter,bladder
port in the catheter,port
prostate debris,prostate
drainage port,drainage
sizeable syringe,syringe
clear fluid,clear fluid
drainage port in the catheter,drainage
excess fluid,excess fluid
liters of clear fluid,clear fluid
balloon inside the catheter,balloon
ounce bag,ounce
end of the bed,end
form of traction,form
drainage fluid,drainage
sure irrigation,sure
grapefruit juice,grapefruit juice
less blood,less
bladder thru the foley,bladder
bladder thru the foley w,bladder
bladder thru the foley w fluid,bladder
foley w fluid,fluid
w fluid,fluid
good control,good
chunks of bloody crap,chunks
bloody crap,bloody
own exercise,exercise
more times,more
more times with low pvrs,more
more times with low pvrs in order,more
times with low pvrs,times
times with low pvrs in order,times
low pvrs,low
low pvrs in order,low
pvrs in order,order
few standard meds,few
standard meds,standard
last night at home,last
night at home,night
hour with the pain,hour
first pae,first
first pae as a substitute,first
pae procedure,procedure
pae nighttime urination,urination
nighttime urination,urination
sore rectum,sore
mg of finasteride,finasteride
treatment like a turp,treatment
better technology,better
better technology in the near future,better
technology in the near future,technology
near future,near
type of exercise,type
alpha blockers,alpha blockers
urination issues,urination
conjunction with alpha blockers,conjunction
main pae,main
main pae thread,main
pae thread,thread
pae in north,north
pae in north carolina,north carolina
decent urine,urine
decent urine flow,urine flow
monday afternoon,monday
discomfort of the procedure,discomfort
steam injections,steam
foley in place,place
special drugs,special
lots of kidney,kidney
lots of kidney stones,kidney stones
urine mix,urine
edges of the catheter,edges
presence of the foley,presence
other pain,pain
last 51hrs,last
best chance,best
best chance of a quick recovery,best
chance of a quick recovery,chance
tomorrow am,tomorrow
kidneys stones,kidneys
bladder stones,bladder stones
minerals from the urine,minerals
minerals from the urine deposit,minerals
minerals from the urine deposit on the surface,minerals
urine deposit,urine deposit
urine deposit on the surface,urine deposit
urine deposit on the surface of the indwelling,urine deposit
deposit on the surface,deposit
deposit on the surface of the indwelling,deposit
deposit on the surface of the indwelling urolift,deposit
surface of the indwelling,surface
surface of the indwelling urolift,surface
surface of the indwelling urolift implant,surface
indwelling urolift,indwelling
indwelling urolift implant,indwelling
urolift implant,implant
cystolitholapaxy procedure,cystolitholapaxy
follow up visit,follow up visit
low pain,low
low pain threshold,low pain threshold
norco before bedtime,norco
constant irritation,constant
constant irritation after the procedure,constant
irritation after the procedure,irritation
pulse ox,pulse
sleepless night,night
good quick fix,good
quick fix,quick
potential pain,potential
sufferings in the future,sufferings
surgical interventions,surgical interventions
doc fee,doc
first uro,first
first uro procedure,first
uro procedure,procedure
voiding problems,voiding
g prostate,prostate
g prostate w,prostate
g prostate w median lobe,prostate
g prostate w median lobe issue,prostate
prostate w,prostate
prostate w median lobe,prostate
prostate w median lobe issue,prostate
w median lobe,median
w median lobe issue,median
median lobe issue,median
lobe issue,lobe
pre- op,pre
pre- op stuff,pre
prostate ultrasound,prostate ultrasound
stream dx,stream
flow rate,flow rate
alfuzosin with limited effect,alfuzosin
limited effect,limited
35g in weight,weight
help of advice,help
oral sex,oral sex
wrong test,wrong
nhs guidance,nhs
cheap test,test
dip stick,dip
dip stick test,dip
stick test,stick
serious uti,serious
small amounts of bacteria,small
amounts of bacteria,amounts
urine culture test,urine culture test
massive mistake,massive
likely enterococcus faecalis,likely
enterococcus faecalis,enterococcus faecalis
enterococcus over the time,enterococcus
cream for rush,cream
referral to urologist,referral
medical file,medical
medical file as a anxiety,medical
medical file as a anxiety guy,medical
file as a anxiety,file
file as a anxiety guy,file
anxiety guy,anxiety
significant growth,significant
small quantity,small
bigger picture,bigger
small growth,small
small growth of bacteria,small
growth of bacteria,growth
acute prostatitis,acute prostatitis
weeks of treatment by iv,weeks
treatment by iv,treatment
oral medication,oral medication
more damage,more
worst side,worst
worst side effects,worst
semen culture,semen
semen culture test,semen
stamey test,test
right steps,right
weight male,weight
self catheter,self
excess weight,excess
several positions,several
other internet,internet
other internet searches,internet
internet searches,internet
self catheter for obese male,self
catheter for obese male,catheter
obese male,obese
lack of ejaculation,lack
sudafed before sex,sudafed
medical community,medical
good insight,good
bladder neck incision in the next few weeks,bladder neck
neck incision in the next few weeks,neck
incision in the next few weeks,incision
frequency without a lot,frequency
frequency without a lot urine,frequency
lot urine,lot
low stream,low
low stream of urine,low
stream of urine,stream
experience post,experience
surgery 😃,surgery
itind procedure,procedure
page urolift,page
page urolift thread,page
urolift thread,thread
old posts,old
other thread,thread
more info in the various threads,more
info in the various threads,info
various threads,various
routine searches,routine
top of the search,top
top of the search results,top
search results,search
specific side,specific
specific side effects,specific
recovery pain,recovery
damage from the condition,damage
uro for the first time,for
primary for an annual exam,primary
annual exam,annual
aua score,score
severe category,severe
paper at the office,paper
urolift brochure,brochure
great answer,great
nasty side,side
nasty side effects,side effects
nasty side effects of the other options,side effects
side effects of the other options,side effects
effects of the other options,effects
most men,most
basics from prior research,from
prior research,prior
doc's additional explanation,doc
additional explanation,additional
follow up tests,follow up
candidate for the procedure,candidate
median bar,median
positive outlook,positive
positive outlook for a urolift,positive
outlook for a urolift,outlook
clips in such a way,clips
medlift studies,studies
good procedure,good
good procedure with this condition,good
procedure with this condition,procedure
surgery center,surgery
check in nurse,check
procedure with a cath,procedure
intense levels,intense
intense levels of pressure,intense
levels of pressure,levels
edge off the pain,edge
ounces with a fair number,ounces
ounces with a fair number of clots,ounces
fair number,fair
fair number of clots,fair
number of clots,number
half hour,half hour
half hour to an hour,half hour
half hour to an hour for a while,half hour
hour to an hour,hour
hour to an hour for a while,hour
hour for a while,hour
last clot,last
times during the night,times
more clot,more
more clot on day,more
clot on day,clot
most pees,most
most pees with a little bit,most
most pees with a little bit of pink,most
pees with a little bit,with
pees with a little bit of pink,with
little bit of pink,little
bit of pink,bit
result of the procedure,result
prostate tissue,prostate
perfect sense,sense
hours between pees,hours
good flow,good
benefits of urolift,benefits
times with such a weak stream,times
couple of things,couple
burning in the prostate,burning
lot more difficulty,lot
more difficulty,more
angle of the various parts,angle
days into the process,days
dramatic improvement,improvement
open mind,open
bit of discomfort,bit
view on urolift,view
trouble beginning,beginning
doctor proof,doctor
entire lives,entire
serious pain,serious
serious pain from the last visit,serious
pain from the last visit,pain
semen sample,semen sample
weeks of cipro,weeks
antibiotics via poss,antibiotics
antibiotics via poss iv,antibiotics
antibiotics via poss iv abx,antibiotics
out in an hour,out
experience with this procedure,experience
experience with this procedure for bacterial prostatitis,experience
procedure for bacterial prostatitis,procedure
diagnosis with bhp,diagnosis
diagnosis with bhp in later february,diagnosis
bhp in later february,bhp
later february,later
tamsulosin by the er,tamsulosin
next appt,next
urologist face,urologist
initial rush,initial
large prostate,large prostate
april 6th,april
general anesthesia,general anesthesia
fr catheter,catheter
little swelling around the ankle,little
swelling around the ankle,swelling
depend briefs,depend
cvs in the area,cvs
first urine,first
first urine flow,first
uber home,home
fire dept,fire
fire dept activity,fire
dept activity,activity
alternate route,alternate
flights of stairs,stairs
floor building,floor
floor building with no elevator,floor
building with no elevator,building
insurance company,insurance company
insurance company for fmla,insurance company
company for fmla,company
short-term disability,short-term
right butt,right
right butt check,right
butt check,check
lot of urine,lot
bactrim morning,bactrim
colace in the morning,colace
clearlax at home,clearlax
first bowel,first
first bowel today,first
bowel today,bowel
lot of gas,lot
lot from benzo,lot
lot from benzo withdrawal,lot
benzo withdrawal,withdrawal
years on the highest dose,years
day for all that time,day
case with the psychiatrists,case
set routine,set
care with things,care
other books,books
complex ptsd,complex
several other conditions,several
hope for change,hope
hours with ease,hours
z drug,drug
melatonin valarian,melatonin
melatonin valarian root,melatonin
melatonin valarian root nytol,melatonin
melatonin valarian root nytol mitazapine,melatonin
valarian root,root
valarian root nytol,root
valarian root nytol mitazapine,root
root nytol,root
root nytol mitazapine,root
nytol mitazapine,nytol
professional career,professional
result of the long term,result
result of the long term use,result
effect in terms,effect
form of addiction,form
wise move,wise
first covid,first
first covid vaccine,first
first covid vaccine last sunday,first
covid vaccine last sunday,vaccine
vaccine last sunday,vaccine
crazy heart,heart
time for work,time
same thing as the first night,same
thing as the first night,thing
pills side,pills
pills side effects,pills
hottest day,day
crazy tremors,tremors
crazy heart palpitations,heart palpitations
melatonin pill,melatonin pill
effects of the melatonin,effects
hospital trip,hospital
much sleep,much
days since that incident,days
emotional stress from that incident,emotional stress
stress from that incident,stress
natural sleeping,natural
natural sleeping habits,natural
sleeping habits,sleeping habits
mg per night,per
mg per night in the end,per
night in the end,night
heroine addict,addict
heroine addict heroine,addict
addict heroine,addict
recommended time,recommended
fir few weeks,fir
sleepy next day,sleepy
hours off sleep,hours
worst experience,worst
severe headaches,severe
night without any sleep,night
nights of zero,nights
nights of zero sleep,nights
zero sleep,zero
lots of thoughts,thoughts
alternative to xanax,alternative
mg of xanax,xanax
better alternative,better
much detail,much
first panic,first
first panic attack,first
x chest,chest
x chest xray's,chest
chest xray's,chest
x ecg's,ecg
more diazepam,more
dosage without diazepam,dosage
mg diazepam,diazepam
same nonsense,same
man flu,man
others on diazepam,others
others on diazepam for many years,others
diazepam for many years,diazepam
placebo effect ams,placebo effect
placebo effect ams xanax,placebo effect
effect ams,effect
effect ams xanax,effect
ams xanax,ams
cbt tuesday,cbt
life stresses,life stresses
bedroom property,bedroom
behaviour issues,behaviour
help from the council,help
bigger property,bigger
city several years,city
house prices,house
true advice,true
medical knowledge,medical
new regime,new
new regime of cbd,new
regime of cbd,cbd
thc by a health,thc
thc at bedtime,thc
zopiclone amount,zopiclone
anxiety without drugs,anxiety
mg dosage,dosage
final dosage,final
release effect,release
few moments,few
few moments of stress,few
moments of stress,stress
normal dosages,normal
anxious issues,anxious
same medication,same
expenses on medications,expenses
god sake,god
council tax,council
helpful service,helpful
mg of mirtazapine,mirtazapine
mg of mirtazapine at night,mirtazapine
mirtazapine at night,mirtazapine
research for self,research
research for self help,research
self help,self help
god damn sleep,god
damn sleep,sleep
sleeping schedule,sleeping
people on sertraline,people
sleeping aid,sleeping
sleeping aid at a low dose,sleeping
aid at a low dose,aid
help in the uk,help
help in the uk for discontinuation,help
uk for discontinuation,for
uk for discontinuation of long term,for
uk for discontinuation of long term benzo,for
uk for discontinuation of long term benzo use,for
discontinuation of long term,discontinuation
discontinuation of long term benzo,discontinuation
discontinuation of long term benzo use,discontinuation
long term benzo,long term
long term benzo use,long term
term benzo,term
term benzo use,term
benzo use,use
recovery from the damage,recovery
mg morning,morning
mg on monday,monday
cane off sertraline,cane
mg in a weeks,weeks
mg in a weeks time,weeks
night time dose,night time
time dose,time
day time dose,day
diaz with the least side,with
diaz with the least side effects,with
least side,side
least side effects,side effects
new antidepressant,new
worth type,type
worth type of thinking,type
type of thinking,type
4mg on waking,on waking
mg late morning,late
mg mid,mid
mg mid afternoon,mid
mid afternoon,mid
mg night one,night
night one,night
side effects in any way,side effects
effects in any way,effects
next question,next
ashton method for zopiclone,method
method for zopiclone,method
high amount,high
high amount of diazapem,high
high amount of diazapem for the amount,high
amount of diazapem,amount
amount of diazapem for the amount,amount
amount of diazapem for the amount of zop,amount
diazapem for the amount,for
diazapem for the amount of zop,for
diazapem for the amount of zop i'm,for
amount of zop,amount
amount of zop i'm,amount
zop i'm,zop
pharmaceutical drug,pharmaceutical drug
example after a few days,example
mental health perspective,mental health
health perspective,health
withdrawal information,withdrawal
impossible site,impossible
successful professional career,successful
many friends,many
months without any major side,months
months without any major side effects,months
major side,major
major side effects,major
depression during the day,depression
insecurities to target,insecurities
relapse in july,relapse
reasonable day,day
daily challenge,daily
drugs off the internet,drugs
complicated one,complicated
support forum,support
reassuring advice,reassuring
discussions on this forum,discussions
night of no sleep,night
hours in fact,hours
last resort after several years,last
last resort after several years of chronic insomnia,last
resort after several years,resort
resort after several years of chronic insomnia,resort
several years of chronic insomnia,several
years of chronic insomnia,years
chronic insomnia,chronic insomnia
internet orders,internet
stress free life,stress
free life,free
circumstances for insomnia,for
circumstances for insomnia a&e,for
circumstances for insomnia a&e way,for
circumstances for insomnia a&e way in the past,for
insomnia a&e,insomnia
insomnia a&e way,insomnia
insomnia a&e way in the past,insomnia
a&e way in the past,in the past
way in the past,in the past
new life in a peaceful island,new
new life in a peaceful island environment,new
life in a peaceful island,life
life in a peaceful island environment,life
peaceful island,island
peaceful island environment,island
peaceful island environment at th end,island
island environment,island
island environment at th end,island
environment at th end,environment
horrible hangover,hangover
speech stammer,speech
supportive forum,supportive
cita site,site
crossover to an equivalent dose,crossover
crossover to an equivalent dose of diazepam,crossover
equivalent dose,equivalent
equivalent dose of diazepam,equivalent
dose of diazepam,dose
mg pills of diazepam,pills
pills of diazepam,pills
lots of achievements,achievements
feeling crap,feeling
first night without zopiclone,first
night without zopiclone,night
mg diazepam at bed,diazepam
mg diazepam at bed time,diazepam
diazepam at bed,diazepam
diazepam at bed time,diazepam
relaxation cd,relaxation
spare room,room
hour dose,hour
mini hallucination,mini
mini hallucination about the radio,mini
hallucination about the radio,hallucination
acute insomnia,acute
supply of zopiclone,supply
bedside drawer,drawer
side effects of this drug,side effects
effects of this drug,effects
normal sleep,normal sleep
nightmare situation,nightmare
month of terrible insomnia,month
terrible insomnia,terrible
useful advice,useful
good relationship,good
good relationship with zopiclone,good
relationship with zopiclone,relationship
bed at night,bed
more stress,more
little zopiclone,little
little zopiclone at bedtime,little
zopiclone at bedtime,zopiclone
regular middle,regular
regular middle of the night,regular
regular middle of the night dose,regular
middle of the night dose,middle
night dose,night
g at bedtime,at bedtime
many nights,many
higher amount,higher
nervous wreck,nervous
nervous wreck in the daytime,nervous
wreck in the daytime,daytime
diazepam as a possible alternative,diazepam
possible alternative,possible
lousy today,today
year old housewife,year
old housewife,old
signs of an addiction,signs
week !!!4 point,week
infections of the body,infections
immune responses,immune responses
decreased immune,decreased
decreased immune function,decreased immune function
decreased immune function in the body,decreased immune function
immune function,immune function
immune function in the body,immune function
function in the body,function
early death,early death
good majority,good
long term users,long term
term users,term
protracted withdrawal,withdrawal
protracted withdrawal symptoms,withdrawal symptoms
years with no cure,years
years with the withdrawal,years
years with the withdrawal syndrome,years
different brain,different
body system,body system
persons body,persons
direct assault,direct
direct assault on the central nervous system,direct
assault on the central nervous system,assault
central nervous system,central nervous system
gamma receptors,gamma
sleep deprivation,sleep deprivation
torture in the past,torture
torture in the past for good reason,torture
past for good reason,past
next dose for the relief,next
dose for the relief,dose
havoc with emotions,with
stressed zopiclone,stressed
ecg monitoring,ecg monitoring
ecg monitoring brain,ecg monitoring
ecg monitoring brain activity,ecg monitoring
monitoring brain,monitoring
monitoring brain activity,monitoring
brain activity,brain activity
patients on zopiclone,patients
unusual brain,unusual
unusual brain wave,unusual
unusual brain wave activity,unusual
brain wave,brain wave
brain wave activity,brain wave
wave activity,wave
quality rest,quality
glass of wine,glass
only evils,only
terrible effect,terrible
terrible effect on the mind,terrible
effect on the mind,effect
drug addict,drug addict
repeat prescription for years,repeat
prescription for years,prescription
addictive drugs,addictive drugs
addictive drugs since the vaium epidemic,addictive drugs
drugs since the vaium epidemic,drugs
drugs since the vaium epidemic of the 50's,drugs
vaium epidemic,epidemic
vaium epidemic of the 50's,epidemic
epidemic of the 50's,epidemic
same respect,same
different way,different
deceitful person,person
deceitful person in the world,person
honest person,honest
honest person with feelings,honest
person with feelings,person
none of the drs,none
status of junkie,status
killer blow,killer
drug on the prescription,drug
social judgement,social
pills at home,pills
immediate family,immediate
drug from the dr,drug
expert in this zopiclone,this
expert in this zopiclone addiction,this
zopiclone addiction,zopiclone
care x,care
terrible drug,terrible
small supply,small
next day headache,next
day headache,day
lowest point,lowest
sharp noises,sharp
cold sweat,cold sweat
cold sweat withdrawal,cold sweat
sweat withdrawal,sweat
slow progress,slow
weeks since the last dose,weeks
more sleep,more
horrible experience,experience
awful feelings,feelings
awful feelings for another year,feelings
feelings for another year,feelings
love of god,love
medicinal use,use
stress zopiclone,stress
stress zopiclone headache,stress
zopiclone headache,zopiclone
normal headache,normal
powerful steroids,steroids
need of some advice,need
exceptional times,times
further medical evidence,further
medical evidence,medical
request for an appeal,request for
request for an appeal at tribunal,request for
appeal at tribunal,appeal
working computer,working
old phone,old
emails for the last few wks,emails
last few wks,last
few wks,few
online appeal,appeal
online appeal process,appeal
appeal process,appeal
direct appeal,direct
direct appeal in email,direct
appeal in email,appeal
descriptors in this email,descriptors
extra grip,extra
extra grip areas,extra
grip areas,grip
copy of pip,copy
copy of pip face,copy
pip face,pip
assessment report,assessment
postal delays,postal
crap year,crap
crap year with covid,crap
year with covid,year
kind regards caroline,kind
tips for a pip,tips
tips for a pip review,tips
place till april,place
place till april next year,place
april next year,april
face to faces,face
phone consultations,phone
fit to work,fit
support group criteria,support group
group criteria,group
more chance,more
full time carer,full time
time carer,time
health over a number,health
health over a number of years,health
rock bottom,bottom
life from childhood,life
specialist at hospital,specialist
specialist at hospital last year,specialist
hospital last year,hospital
early days,early
early days with that one,early
days with that one,days
active thyroid,active
hubby up all the time,all the time
full time as a community,full time
full time as a community nurse,full time
time as a community,time
time as a community nurse,time
community nurse,community nurse
work since the beginning,work
work since the beginning of the year,work
beginning of the year,beginning
few complex health,few
few complex health issues,few
complex health,complex
complex health issues,complex
notes for a month,notes
notes for a month at a time,notes
month at a time,month
issue with these fit,issue
issue with these fit notes,issue
fit notes,fit
fair im,fair
alternatives to a fit,fit
alternatives to a fit note,fit
legacy benefit,legacy
legacy benefit claimants,legacy
legacy benefit claimants to uc,legacy
benefit claimants,benefit
benefit claimants to uc,benefit
text from dwp,text
pip assessment,pip
pip as a guide,pip
decision without an assessment,decision
anxiety shouldn,anxiety
experience of nattokinase,experience
complimentary anticoagulant,complimentary
pip in april,pip
standard daily living,standard
mandotary reconsideration in may,may
reconsideration in may,may
dads carer,dads
mobility side,mobility
standard standard,standard
statement of reasons,statement
statement of reasons for the decision,statement
reasons for the decision,reasons
reasons for the decision from the tribunal,reasons
decision from the tribunal,decision
regular pip,regular
regular pip payment,regular
pip payment,pip
bank account,bank account
assessment at home,assessment
pip money,pip
next payment,next
normal procedures,normal
mental health nurse,mental health nurse
text today,text
pip assesment,pip
interveiw face,face
severe disability premium of esa,severe
disability premium of esa,disability
premium of esa,esa
number months,number
specialist test,specialist
specialist test after test,specialist
specialist test after test bloods,specialist
test after test,test
test after test bloods,test
test bloods,test
nose god,nose
national insurance,national
national insurance number,national
national insurance number date,national
national insurance number date of birth,national
national insurance number date of birth adress,national
insurance number,insurance
insurance number date,insurance
insurance number date of birth,insurance
insurance number date of birth adress,insurance
number date,number
number date of birth,number
number date of birth adress,number
date of birth,date of birth
date of birth adress,date of birth
birth adress,birth
bank details,bank
health questions,health
bascellex for a week,for
other creams,creams
bascellex cream,cream
justification of advice,justification
enduring mental health,mental health
enduring mental health condition,mental health
mental health condition,mental health
health condition,health
longer term,term
longer term prognosis,term
term prognosis,term
first pip,first
first pip claim,first
lot of difficulty,lot
mandatory reconsideration,mandatory
25th march,march
official date,official
high risk of infection,high risk of
risk of infection,risk of
elderly mum,elderly
further evidence,further
tribunal with help,with
tribunal with help from cab,with
help from cab,help
long telephone,long
long telephone calls,long
telephone calls,telephone
ongoing pain,ongoing
huge parts,parts
huge parts of the day,parts
huge parts of the day in the bathroom,parts
parts of the day,parts
parts of the day in the bathroom,parts
day in the bathroom,day
urine infections,urine
intermittent internet,intermittent
intermittent internet access,intermittent
internet access,internet access
new device,new
tribunal webchat facility,facility
webchat facility,facility
nhs clinics,nhs
infusion at the end,infusion
infusion at the end of summer,infusion
end of summer,end
lot of repetitive conversation,lot
repetitive conversation,conversation
amount of medication,amount
award to standard care,award
standard care,standard
standard mobility,standard
everyday difficulties,everyday
tomorrow lunchtime,tomorrow
same conditions,same
less score,less
mothers carer,mothers
mothers carer for several years,mothers
carer for several years,carer
receipt of income,income
receipt of income support,income
income support,income
carers allowance,carers
other family,family
other family members,family members
receipt of either benefit,either
form of income,form
several chronic health,several
several chronic health conditions,several
chronic health,chronic
chronic health conditions,chronic
advice from a local law,advice
advice from a local law centre,advice
local law,local
local law centre,local
law centre,law
assessment team,assessment
medical assessment,medical assessment
kind of financial support,kind
financial support,financial support
financial help,financial
years by the way,years
many thanks for any help,many
thanks for any help,for
week from employment,week
wtc as a single mum,single
wtc as a single mum on friday,single
single mum on friday,single
mum on friday,mum
letter from dwp,letter
routine checks,routine
dewsbury job,job
dewsbury job centre,job
job centre,job
letter look,letter
national insurance as ref,national
insurance as ref,insurance
number ref,number
thin paper,thin
call monday,call
land line,land
land line number,land
line number,line
chronic spondylosis,chronic
patient care,patient care
patient care list,patient care
care list,care
state pension,state
march next year,march
red tape,red
article today,article
benefit claiment,benefit
new claim,new
nee pip,pip
nee pip renewal,pip
nee pip renewal form,pip
pip renewal,pip
pip renewal form,pip
renewal form,renewal
other forms,forms
changes since the last assessment,changes
last assessment,last
health costs,health costs
house hold,house
month income,month
month income thanks,month
income thanks,income
people from legacy,people
people from legacy benefits,people
legacy benefits,legacy
tax credit,tax credit
tax credit claiments,tax credit
credit claiments,credit
esa claiments,esa
lumba in august,august
optic nerve swelling,optic nerve
nerve swelling,nerve
trip to the docs,trip
mg acetazolamide,acetazolamide
4th lumbar,lumbar
4th lumbar pucture,lumbar
4th lumbar pucture on wednesday,lumbar
lumbar pucture,lumbar
lumbar pucture on wednesday,lumbar
pucture on wednesday,wednesday
relief from lumbar,relief
relief from lumbar puctures,relief
lumbar puctures,lumbar
symptoms for many years,symptoms
iih symptoms,symptoms
different gps,different
necessary concern,concern
contributary factor,factor
contributary factor in iih,factor
factor in iih,factor
gut instinct,gut
cheek bone,cheek bone
very moment,very
kind of pain,kind
pressure feelings,pressure
pressure feelings in the centre,pressure
pressure feelings in the centre of the chest,pressure
feelings in the centre,feelings
feelings in the centre of the chest,feelings
centre of the chest,centre
needles like a band,needles
right side without chest,right side
right side without chest symptoms,right side
side without chest,side
side without chest symptoms,side
chest symptoms,chest
buzzing sensation,sensation
sharp stabbing pains,sharp
stabbing pains,stabbing
many thanks from hayley,many
many thanks from hayley xx,many
thanks from hayley,from
thanks from hayley xx,from
headaches amongst other symptoms,headaches
valid concern,valid
work on std,work
bed rest,bed rest
heat intolerance,heat intolerance
on without meds,without
incontinence at times,incontinence
excessive thirst,excessive thirst
high level in order,high level
level in order,level
lot of relief from the procedure,lot
relief from the procedure,relief
other surgeries,surgeries
other surgeries in the past,surgeries
surgeries in the past,surgeries
further vision,further
further vision deterioration,further
vision deterioration,vision
personal relationships,personal
stress levels,stress
treatment team,treatment
beginning of a ride,beginning
beginning of a ride down the rabbit,beginning
beginning of a ride down the rabbit hole,beginning
ride down the rabbit,down
ride down the rabbit hole,down
best treatment,best
beautiful healthy day,healthy
healthy day,healthy
pain of iih,pain
form of contraception,form
enough evidence,evidence
women on various birth,women
women on various birth control,women
women on various birth control aids,women
various birth,various
various birth control,various
various birth control aids,various
birth control aids,birth control
control aids,control
only link,only
other women with the condition,women
women with the condition,women
link between the pill,link
lot of women,lot
harmful consequences,consequences
progesterone only pills,progesterone
only pills,only
link between the estrogen,link
link between the estrogen in the pill,link
estrogen in the pill,estrogen
estrogen in the pill with the iih,estrogen
pill with the iih,pill
little hormone,little
plenty of women,women
years with this condition,years
recent lp,recent
back from the lp,back
stents in situ,stents
skull base,skull base
skull base surgery,skull base surgery
base surgery,base
jugular vein,jugular vein
deep fear,deep
piles of prescription,piles
piles of prescription medicines,piles
prescription medicines,prescription
reoccurring prescriptions,prescriptions
general otc,general
general otc pain,general
general otc pain relief,general
otc pain,otc
otc pain relief,otc
short stint,short
short stint in a critical care,short
short stint in a critical care unit,short
stint in a critical care,stint
stint in a critical care unit,stint
critical care,critical care
critical care unit,critical care unit
care unit,care
strong pain killers,strong
high end,high
real kicking,real
real kicking today,real
kicking today,today
patch break,patch
neuro surgeon,neuro surgeon
stent for iih,stent
last april lp,last
april lp,april
more lumbar punctures,more
more lumbar punctures pressure,more
lumbar punctures,lumbar punctures
lumbar punctures pressure,lumbar punctures
punctures pressure,punctures
past couple of days in agony,past
past couple of days in agony head,past
couple of days in agony,couple
couple of days in agony head,couple
days in agony,days
days in agony head,days
agony head,agony
uncomfortable today,today
papilladema grade,grade
advice welcome thankyou,advice
shooting pain sensation,shooting pain
pain sensation,pain sensation
yr old lady,old
effects of idiopathic intercranial hypertension,effects
idiopathic intercranial hypertension,idiopathic
intercranial hypertension,hypertension
chances of sight,chances
friends with hx,friends
friends with hx of lumbar,friends
friends with hx of lumbar punctures,friends
hx of lumbar,lumbar
hx of lumbar punctures,lumbar punctures
overnight thursday,overnight
overnight thursday into friday,overnight
thursday into friday,thursday
iih headaches,headaches
life of head,life
life of head pain,life
excruciating coughing,excruciating
excruciating coughing pain,excruciating
coughing pain,coughing pain
spontaneous csf,spontaneous
spontaneous csf leak,spontaneous
leak from a lumbar puncture,leak
iih diagnosis,diagnosis
iih diagnosis in the first place,diagnosis
diagnosis in the first place,diagnosis
foreseeable future,future
non prescription,non
non prescription meds,non
prescription meds,prescription
self destruct mode,self
destruct mode,mode
comprehensive blood,comprehensive
comprehensive blood panel,comprehensive
tad bit,tad
odd sensations,odd
fingers at random times,fingers
possible sinus,possible
possible sinus infection,possible
slight shortness,slight
slight shortness of breath,slight
gym life,life
way to the gym at night,at night
gym at night,at night
bad dizzy spell,bad
dizzy spell,dizzy spell
heavy bucket,heavy
heavy bucket of dizziness,heavy
bucket of dizziness,dizziness
couple sec,couple
eye vision,eye vision
sense of imbalance,sense
sinus pressure,sinus pressure
visual disturbances like people,visual disturbances
visual disturbances like people with iih,visual disturbances
disturbances like people,like
disturbances like people with iih,like
people with iih,people
neuro- ophthalmologist,neuro
opening pressure,opening
tight helmet,tight
huge bowling,bowling
huge bowling ball,bowling
bowling ball,bowling
stretching feeling,stretching
month after lumbar puncture,month
painful headaches,painful
thoracic area,thoracic area
horrible eye,eye
horrible eye pain,eye pain
feeling of disorientation,feeling
spasms in that area,spasms
spasms in that area of the neck,spasms
area of the neck,area
bad pressure,bad
lumbar puncture body,lumbar puncture
puncture body,puncture
wrong signals,wrong
tubes for the vp,tubes
tubes for the vp shunt,tubes
visual aura,visual aura
placement of the shunt,placement
head to the right,head
cavity scar,cavity
debilitating brain symptoms,brain
brain symptoms,brain
kind of diagnosis,kind
sudden onset in june,sudden onset
onset in june,onset
sort of virus,sort
other brain,brain
