concepts|phrases
Excessive upper gastrointestinal gas|Gas
Diarrhoea|diarrhea
Initial insomnia|Difficulty getting to sleep
Myalgia|aching muscles
Feeling agitated 232 249|Severe aggitation
Unable to control anger|quick to snap
Feeling agitated|aggitation
Tired|tired
Lipitor|Lipitor
Lipitor|Lipitor
Myalgia|muscle aches
Low back pain|low back pain
Myalgia|muscle pain
Pain|pain
Lack of stamina|went down stamina
Muscle weakness|went down muscles
Cramp in lower limb|Leg cramping
Cramp in lower limb|toe cramping
Pain in lower limb|leg pain
Muscle fasciculation|fasciculations (muscle twitches)
Muscle atrophy|muscle atrophy
Memory impairment|memory problems
Peripheral neuropathy|peripheral neuropathy
Lipitor|Lipitor
ubidecarenone|CoQ-10
Myopathy|muscle problems
Lipitor|Lipitor
Myalgia|Muscle pain
Muscle twitch|muscle twitching
Fatigue|fatigue
Myalgia|Mild muscle pain
Crestor|Crestor
Zocor|Zocor
Lipitor|Lipitor
Lipitor|Lipitor
Cramp in lower limb|Leg cramps
Pain|pain
Peripheral neuropathy|Peripheral Neuropathy
Paraesthesia of lower extremity|lost most of my feeling in feet, legs and hands
Paraesthesia of hand|Tingeling in fingers
Foot pain|feet is painful
Impairment of balance|Difficult to keep balance
Walking disability|Difficult to walk
Difficulty sleeping|Difficult to sleep
Burning sensation|burning
Pain|pain
Cramp in lower limb|leg cramps
Walking disability|difficulty picking my feet up
Itching|itching
Pins and needles|tingling
Neuropathy|Neuropathy
Tinea pedis|Athlete's foot
Lipitor|Lipitor
Lipitor|Lipitor
Severe depression|severe depression
Anxiety|anxiety
Arthralgia|sore joints
Backache|sore back
Lack of energy|lack of energy
Depression|Depression
Lipitor|Lipitor
Lipitor|lipitor
Lipitor|Lipitor
Diarrhoea|diarrhoea
Excessive upper gastrointestinal gas|Excessive gas
Backache|back ache
Severe pain|severe pain in leg
Limping|caused me to limp
Heart disease|heart disease
Lipitor|Lipitor
Hip pain|pain in hip
Pain in calf|pain in calf muscle
Severe pain|Extreme back pain
Nerve injury|nerve damage
Difficulty breathing|breathing problems
Stiffness|stiffness
Myopathy|muscle damage
Discolouration of skin|black and blue marks
Loss of hair|hair loss
Dizziness|dizzyness
Visual disturbance|vision problems
Blackout|blackouts
Nasal sinus problem|sinus problems
Palpitations|heart palputations
Nonspecific abdominal symptom|abdominal problems
Bleeding|bleeding
Excessive upper gastrointestinal gas|gas
Excessive upper gastrointestinal gas|gas
Constipation|constipation
Amnesia|memory loss
Tremor|tremors in right hand
Parkinsonism|symptoms of parkinson's disease
Lipitor|lipitor
Parkinson's disease|parkinson's disease
Parkinson's disease|parkinson's
Lipitor|lipitor
Lipitor|lipitor
Parkinson's disease|Parkinson's
Parkinson's disease|Parkinson's
Lipitor|Lipitor
Depression|DEPRESSION
Myalgia|muscle pain
Muscle twitch|muscle twitching
Tired|tired
Loss of motivation|loss of drive
Feeling irritable|irritable
Insomnia|insomnia
Anxiety|anxiety
Loss of motivation|loss of desire to do or accomplish anything
Heart disease|heart desease
Increased cholesterol esters|moderatly elevated cholesterol level
Lipitor|lipitor
Lipitor|lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Depression|Depression
Myalgia|muscle aches
Myalgia|Muscle pain
Hip pain|Hip pain
Limping|cause me to limp
Numbness and tingling sensation of skin|buzzing sensation in leg
Muscle cramp|muscle cramps
Knee pain|Knee pain
Constant pain|constant pain
Lipitor|Lipitor
Muscle cramp|muscle spasms
Generalised aches and pains|body aches
Itching|itching
Myalgia|muscle pain
Lipitor|Lipitor
Pain in lower limb|achy legs
Intervertebral disc prolapse|bulging disc
Lipitor|Lipitor
Zocor|Zocor
Forgetful|Forgetfulness
Unable to concentrate|Lack of Concentration
Excruciating pain|excruciating pain in my legs
Insomnia|insomnia
Headache|terrible headaches
Generalised pruritus|itching all over
Depression|depression
Moody|moodiness
Lupus erythematosus|Lupus
Lipitor|Lipitor
Lipitor|Lipitor
Neck pain|neck pain
Amnesia|memory loss
Mentally dull|Brain feel kind of foggy
Severe pain|severe back pain
Asthenia|Extreme fatigue
Confusion|Mentally in a daze
Lipitor|Lipitor
Ophthalmic migraine|ocular migranes
Migraine|migranes during sexual intercourse
Migraine|migranes
Migraine|Migranes
Lipitor|lipitor
Muscle fatigue|tire very quickly muscles
Cramp in lower limb|leg/foot cramps
Fatigue|fatigue
Lipitor|Lipitor
Muscle fatigue|muscle tiring
Diabetes mellitus|diabetes
Lipitor|Lipitor
Lipitor|Lipitor
Muscle fatigue|muscle fatigue
Muscle cramp|cramping
Heavy legs|heavy aching legs
Zocor|zocor
Lipitor|lipitor
Tightness in throat|Tight throat
Lipitor|Lipitor
Renal pain|kidneys hurt
Infective cystitis|bladder infection
Blackout|black outs
Lipitor|Lipitor
Lipitor|Lipitor
Myocardial infarction|heart attack
Lipitor|Lipitor
Cramp in lower limb|leg and feet cramps
Cramp in limb|feet and leg cramps
Cramp in foot|feet are cramping
Backache|back pain
Hip pain|hip pain
Tired|tired
Depression|depressed
Pain|pain
Lipitor|Lipitor
Parkinson's disease|parkinson's disease
Injury of nervous system|neurological damage
Lipitor|lipitor
ubidecarenone|coenzyme Q10
Myalgia|severe myalgias
Disorder of muscle|myopathies
Myopathy|muscle dmaage
Degenerative disease of the central nervous system|neurodegeneration
Severe pain|Very bad pain
Pain provoked by movement|Hurt to get up
Pain provoked by walking|hurt to walk
Pain provoked by movement|hurt to stand
Backache|Back pain
Numbness of hand|Severe numbness in hand
Pins and needles|Tingling in feet
Myalgia/myositis - lower leg|soreness in calf muscles
Sharp pain|sharp shock like pain in head
Lipitor|lipitor
Heart disease|coronary disease
Myalgia|Muscle pain
Arthritis|Arthritis
Lipitor|Lipitor
Severe pain|intense shoulder and upper arm pain
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Diarrhoea|Diarrhea
Lipitor|Lipitor
Lipitor|lipitor
Severe pain|extreme leg pain in the calves
Mentally dull|brain fog
Amnesia|memory loss
Visual disturbance|Vision is giving me problems
Malaise|feel like shit all the time
Vertigo|Vertigo
Vertigo|room spinning
Dizziness|dizziness
Nausea|nausea
Visual disturbance|vision problems - seeing two or three of everything
Tendonitis of knee|tendonitis in my knees
Pain in lower limb|pain in my lower legs and feet
Swelling of knee joint|knee swells
Excruciating pain|excrutiating pain
Gout|gout
Toe swelling|toes swell up
Swollen knee|swollen knees
Gout|gout
Lipitor|Lipitor
Limping|hobbling around
Lipitor|Lipitor
Muscle weakness|muscle weakness causing nerve damage and imbalance
Stiffness|stiffness similar to arthritis
Slow on legs|s l o w walking
Numbness|numbness
Muscle tension|in forearms tightness
Muscle tension|tightness in legs
Muscle fatigue|fatigue in legs
Muscle fatigue|fatigue in forearms
Intercostal myalgia|Pain in side muscles on one side of chest
Impairment of balance|Off balanced-ness
Lipitor|Lipitor
Viral upper respiratory tract infection|viral upper respiratory infection
Lipitor|Lipitor
Increased cholesterol esters|high cholesterol
ubidecarenone|Co-Enzyme Q
zinc|Zinc
omega-3-acid ethyl esters-90|Omega 3-6-9 capsules
Stomach ache|Stomach pain
Excessive upper gastrointestinal gas|Gas
Burping|Burping
Diarrhoea|Diarhea
Lipitor|Lipitor
Stomach ache|stomach pain
Tendonitis|tendonitis
Lipitor|Lipitor
Hand pain|right hand has been hurting
Numbness of hand|right hand has been getting numb
Lipitor|lipitor
Hand cramps|serious cramping hands
Cramp in foot|serious feet cramping
Asthenia|weakness
Arthralgia|painful inflamation of joints
Hand joint pain|painful inflamation of knuckles
Muscle weakness|significant strength reduction
Tired all the time|persistent feeling of tiredness
Myalgia|overall muscle soreness
Asthenia|weakness
Fatigue|fatigue
Lipitor|lipitor
Pain|pains
Pain|pain
Walking disability|barely walk
Slurred speech|slurring in speech
Low back pain|lower back pain
Bloating symptom|bloated
Constipation|constipated
Severe pain|severe hip pain
Amnesia|Memory loss
Fatigue|fatigue
Muscle weakness|muscle weakness
Depression|depression
Insomnia|sleepless nites
Visual impairment|Sight loss
Impairment of balance|very off balance
Hip pain|hip pain
Lipitor|Lipitor
Lipitor|Lipitor
Low back pain|lower back pain
Unable to move|impossible to move
Lipitor|Lipitor
Pain|pain
Lipitor|Lipitor
Oedema of lower extremity|severe edema with swelling of limbs
Visual disturbance|vision problems
Asthenia|weakness
Myalgia|muscle pain
Muscle atrophy|rhabdomyolysis/muscle loss
Pulse fast|rapid pulse
Cough|cough
Incoordination|poor coordination while walking
Dizziness|dizziness
Difficulty sleeping|difficulty sleeping
Propensity to adverse reactions to drug|increased sensitivity to other drugs
Sweating|sweating
Nausea|nausea
Headache|frequent headaches
Numbness of limbs|numbness/tingling?aching/ heavy feeling in limps
Walking disability|difficulty walking due to swelling in legs
Incoordination|problems with coordination
Fatigue|fatigue, increased
Lipitor|Lipitor
Lipitor|Lipitor
Pravachol|Pravachol
Lipitor|Lipitor
Pravachol|Pravachol
Lipitor|Lipitor
Pravachol|Pravachol
Tight chest|chest tightness
Numbness of upper limb|numness aching feeling to my left arm
Thoracic back pain|pain inbetween both shoulder blades
General unsteadiness|feeling shakey
Headache|headache
Tired|more tiered
Asthenia|Weakness
Muscle cramp|cramping
Muscle cramp|muscle spasms
Slurred speech|Slurred speech
Difficulty swallowing|difficulty swallowing
Amyotrophic lateral sclerosis|ALS
Lipitor|lipitor
Severe pain|Severe muscle pain in shoulders
Cramp in calf|cramping in calves
Cramp in lower limb|cramping in hamstrings
Muscle cramp|cramping in back muscles
Severe pain|Severe muscle pain
Muscle weakness|losing strength
Isolated memory skills|Difficulty with memory
Shoulder pain|shoulder pain
Inflammatory disorder|inflammation
Rotator cuff syndrome|torn rotator cuff
Pain|pain
Spasm of back muscles|severe back spasm
Muscle cramp|cramp
Shoulder pain|shoulder pain
Crestor|Crestor
Zocor|Zocar
Lipitor|Lipitor
Stiff legs|left leg, below the knee, experienced stiffness
Severe pain|left leg, below the knee, experienced intense pain
Arthralgia|joint pain
Myalgia|muscle pain
Depression|depression
Tiredness symptom|tiredness
Arthritis|arthristis
Lipitor|Lipitor
Burning sensation|burning sensations in hands
Burning sensation|burning sensations in legs
Asthenia|weakness
Tired all the time|tired all the time
Pain in lower limb|leg pain
Pain in upper limb|arm pain
Backache|back pain
Unable to concentrate|not concentrating well
Influenza-like illness|flu symptons
Abnormal dreams|bad dreams
Discolouration of skin|purple sploches around waist
Zocor|Zocor
Lopid|Lopid
Lipitor|Lipitor
Muscle atrophy|muscle atrophy Arms
Muscle atrophy|muscle atrophy legs
Shoulder pain|pain in shoulders
Discolouration of skin|Discoloration of skin [blotchy] on the neck
Poor short-term memory|Short term memory loss
Flatulence/wind|Flatulance
Lipitor|Lipitor
Lipitor|Lipitor
Chronic back pain|chronic backache
Arthritis|arthritis
Lipitor|Lipitor
Muscle cramp|severe muscle back cramp
Muscle cramp|severe muscle spasms
Spasm|spasms
Muscle cramp|cramp
Spasm|spasm
Backache|back aches
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Myalgia|muscle pain
Cramp in lower leg|leg cramps
Pravachol|Pravachol
ubidecarenone|Q10
Lipitor|Lipitor
ubidecarenone|Q10
Pain|pain
Aleve|Aleve
Insomnia|Insomina
Abnormal dreams|abnoraml dreams
Depression|depression
Amnesia|memory loss
Photosensitivity|photosensitivity
Myalgia|muscle pain
Cramp in lower leg|leg cramps
Rhinitis|rhinitis
Bronchitis|bronchitis
Asthma|asthma
Dry skin|dry skin
Tinnitus|tinnitus (left ear)
Loss of taste|taste loss
Dry eyes|dry eyes
Weight gain|weight gain
Hypertension|hypertension
Lipitor|Lipitor
Tinnitus|tinnitus
Zoloft|Zoloft
Rhinocort Aqueous|Rhinocort
Neck pain|neck hurt
Hip pain|hips hurt
Pain|pain
Insomnia|Insomia
Tylenol|Tylenol PM
Weight gain|gained a lot of weight
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Bronchitis|bronhitis
Asthma|asthma
Asthma|asthma
Nasal sinus problem|sinus problems
Pneumonia|pneumonia
Sinusitis|sinus infection
Increased venous pressure|high blood pressure
Norvasc|Norvasc
Nightmares|nightmares
Lipitor|Lipitor
Lipitor|Lipitor
Shoulder stiff|left shoulder is almost immobile
Tinnitus|tinnitus in my left ear
Lipitor|Lipitor
Loss of taste|lost my sense of taste
Lipitor|Lipitor
aspirin|asprin
atenolol|Atenolol
Pain in lower limb|leg pains
Pain in lower limb|leg pains
Restless legs|restless leg syndrome
Lipitor|Lipitor
Heavy legs|heavy legs
Myalgia|muscle aches
Confusion|confusion
Memory impairment|not able to remember things like whether I had done something or where I had placed something
Upset stomach|stomach upset
Indigestion|indigestion
Insomnia|insomnia
Sweating|sweating
Tremor|shaking
Dyspnoea|shortness of breath
Spasmodic movement|twitching
Depression|depression
Fibromyalgia|fibromyalgia
Craving for food or drink|crave carbohydrates
Craving for food or drink|crave sweets
Constipation|Constipation
Diverticulitis|bouts of diverticulitis
Lipitor|Lipitor
Multiple sclerosis|MS
Lupus erythematosus|lupus
Flatulence/wind|Flatulence
Headache|extreme headaches
Excessive sweating|sweating alot
Diabetes mellitus|diabetes
Influenza-like illness|flu like symtoms
Itching of skin|left side of jaw itches
Paraesthesia of upper limb|left shoulder tingles
Shoulder pain|left shoulder aches
Iliotibial band friction syndrome|left leg iliotial band syndrome
Liver enzymes abnormal|liver enzymes elevated
Myalgia/myositis - upper arm|muscle pain in the arms
Myalgia/myositis - lower leg|muscle pain in the legs
Myalgia/myositis - shoulder|muscle pain in the shoulder
Rash|rash
Intraocular haemorrhage|eye hemorrhages
Lipitor|Lipitor
Myocardial infarction|heart attacks
Burning sensation|burning feeling
Numbness of foot|numbing of my feet
Burning sensation|Burning
Low back pain|Lower back pain
Joint stiffness|stiffness in joints
Hip pain|joint pain in my hips
Lumbar facet joint pain|joint pain in my lower back
Shoulder joint pain|joint pain in my shoulders
Knee pain|joint pain in my knees
Thigh pain|pain in my left thigh
Nightmares|Nightmares
Knee pain|knee pain
Excessive upper gastrointestinal gas|constant gas
Diarrhoea|diarrhea
Stomach cramps|severe abdominal cramps
Cramp in lower leg|leg cramps
Diarrhoea|diahhrea
Lipitor|Lipitor
Neuropathy|Neuropathy
Burning feet|Burning feet
Diabetes mellitus|Diabetes
capsaicin|Capsacian
Adhesive capsulitis of shoulder|Frozen Shoulder
Pain|pain
Shoulder pain|shoulder painful
Difficulty moving arm|could not raise my arms
Shoulder pain|shoulder pain
Lipitor|Lipitor
Amnesia|Memory Loss
Muscle cramp|Cramping
Backache|aching muscles in back
Myalgia/myositis - lower leg|aching muscles in legs
Influenza-like illness|Flu-like symptoms
Fatigue|fatigue
Mentally dull|Foggy
Unable to concentrate|unable to concentrate
Zocor|zocor
Lipitor|lipitor
Myalgia/myositis - multiple|very intense muscle pain with burning from the middle of my back and around my ribs to the center of my chest
Myalgia|intense muscle pain with intense burning in my neck
Myalgia|intense muscle pain with intense burning in my legs
Myalgia|intense muscle pain with intense burning in my arms
Myalgia|muscle pains
Myalgia|muscle pains
Lipitor|lipitor
Amnesia|Memory loss
Arthralgia|joint pain
Swelling of hand|swollen hands
Foot swelling|swollen feet
Rib pain|sore ribs
Difficulty sleeping|inability to sleep well
Reduced libido|no sex drive
Moody|moodiness
Tired all the time|always tired
Lack of energy|lack of energy
Tachycardia|increased heart rate
Daily headache|headaches every day
soy lecithin|lecithin
omega-3-acid ethyl esters-90|Omega 3
ascorbic acid|Vit C
Severe pain|imence pain in calf
Severe pain|imence pain in feet
Severe pain|imence pain in legs
Cramp in foot|cramping in feet
Cramp in foot|cramping in toes
Cramp in lower limb|cramping in legs
Pain in upper limb|armpain
Swelling|swelling
Sensation of heaviness in limbs|extreme heaviness in limbs
Backache|backache
Bleeding from nose|bloody noes
Increased creatine kinase level|high cpk
Poor short-term memory|short term memory is terrible
Confusion|confusion
Pins and needles|tingling
Numbness and tingling sensation of skin|buzzing in limbs
Depression|big time depression
Lipitor|Lipitor
Lopid|Lopid (Gemfibrozil)
Lipitor|Lipitor
fenofibrate|Tricor
Lipitor|Lipitor
Myocardial infarction|heart attack
Muscle weakness|extreme muscle weakness
Lipitor|Lipitor
Thigh pain|soreness in thighs
Weakness of limb|weakness in thighs
Mentally dull|not as sharp mentally
Visual impairment|slip in vision
Lipitor|Lipitor
Myocardial infarction|heart attack
Numbness of lower limb|started going numb legs
Paraesthesia of lower extremity|legs started tingling
Tingling of skin|arms started tingling
Numbness of upper limb|arms started going numb
Asthenia|extreme fatigue
Poor concentration|some concentration problems
Aptyalism|Extremely dry mouth
Arthralgia|severe joint aches
Cramp in lower leg|muscle cramps in lower legs
Swelling of hand|sever swelling of hands
Ankle oedema|sever swelling of ankles
Swollen feet|sever swelling of feet
Difficulty breathing|difficulty breathing
Tired|tired
Amnesia|memory loss
Mild depression|mild depression
Sight deteriorating|diminished eyesight
Forgetful|forgetfulness
Memory impairment|memory failure
Lipitor|Lipitor
Swelling|swelling
Myalgia|muscle aches
Arthralgia|joint pain
Amnesia|memory loss
Burning pain|Severe (burning) pain in upper left arm
Burning pain|Severe (burning) pain in lower left arm
Burning pain|Severe (burning) pain in left hand
Knee stiff|stiffness in both knees
Knee pain|pain in both knees
Thoracic back pain|pain in upper back (over left shoulder blade)
Pain in elbow|Pain in both elbows
Pain in left arm|Pain in left arm
Severe pain|Pain is so intense
Influenza-like illness|flu-like symptoms
Knee pain|pains in my left knee
Arthritis|arthritus
Arthritis|arthritus
Severe pain|pain has been so intense
Lipitor|Liptor
Lipitor|Liptor
Myocardial infarction|heart attack
Severe pain|intense pain
Fatigue|Fatigue
Mentally dull|Brain Fog
Stammering|Stuttering
Obsessive-compulsive disorder|Bad OCD
Diabetes mellitus|diabetic
Myalgia/myositis - forearm|Muscle Pain in left arm
Thoracic back pain|Muscle Pain in upper back
Loss of hair|Hair loss
Myalgia|muscle pain
ubidecarenone|CoQ10
Dry hair|hair dryness
Loss of hair|hair loss
Loss of hair|hair loss
Lipitor|Lipitor
Lipitor|Lipitor
Lipidil|Lipidil Micro
ubidecarenone|CoQ10
Lipidil|Lipidil
Lipidil|Lipidil
Myalgia|Muscle pain
Depression|depression
Dizziness|dizziness (fainting spells)
Loss of hair|hair loss
Panic attack|panic attacks
gemfibrozil|Gemfibrozil
Depression|depression
Depression|depression
Panic attack|panic attacks
Lipitor|lipitor
Upset stomach|sick to my stomach
Fatigue|very fatigued
Spasmodic movement|head has been twitching
Tremor|hand tremors
Mentally dull|feel like I am in a fog
Myalgia/myositis - forearm|Muscle aches in arms
Myalgia/myositis - forearm|Muscle aches in elbows
Myalgia/myositis - lower leg|Muscle aches in calves
Elbow joint pain|joint aches in elbows
Arthralgia of the lower leg|joint aches in calves
Arthralgia of the upper arm|joint aches in arms
Flatulence/wind|Lots of gas
Pain in calf|calves muscle pain in the
Myalgia/myositis -pelvis/thigh|thighs muscle pain in the
Backache|back muscle pain in the
Neck pain|neck muscle pain in the
Myalgia/myositis -pelvis/thigh|glutes muscle pain in the
Excessive upper gastrointestinal gas|general feeling of weakness
Difficulty getting out of a chair|Difficulty getting up out of a chair
Palpitations|palpitations
Panic attack|mild panic attack
Eruption|Abdominal rash
Herpes zoster|shingles
Lipitor|Lipitor
Numbness of face|Numbness on left side of face
Numbness of upper limb|Numbness on left arm
Pins and needles|tingling on left arm
Pins and needles|tingling on left side of face
Loss of equilibrium|effected my equilibrium
Myocardial infarction|heart attack
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Loss of hair|hair fell out
Insomnia|insomnia
Ringing in ear|last straw was ringing in the ears
Lipitor|Lipitor
Insomnia|insomnia
Ringing in ear|ringing in the ears (tinnitus)
Crestor|Crestor
Generalised aches and pains|aching (like the flu)
Severe vertigo|Extreme vertigo
Poor short-term memory|short term memory loss
Tendonitis of foot|tendonitisis in heels
Cramp in calf|calf leg cramps
Muscle atrophy|muscle loss
Tinnitus|severe tintitinitis (ringing in ears)
Lipitor|Lipitor
ezetimibe + simvastatin|Vitorin
Tendonitis|heel tendon bruising
Muscle atrophy|muscle loss
ubidecarenone|coenzyme Q10
Acid reflux|Acid Reflux
Stomach ache|stomach pain
Myalgia|muscle pain
Indigestion|indigestion
Stomach ache|stomach pain
Myalgia|muscle aches
Scleral icterus|yellow eyes
Yellow skin|yellow skin
Urine: dark/concentrated|urine dark brown
Spasmodic movement|twitching in thighs
Ankle pain|pain in ankle
Walking disability|couldnt walk
Lipitor|lipitor
methylprednisolone|medrol
Lipitor|lipitor
Alzheimer's disease|alzheimers
Depression|Depressions
Lack of energy|lack of energy
Lipitor|Lipitor
Severe pain|severe muscle pain
Lupus erythematosus|lupus
Fibromyalgia|fibromalgyia
Influenza-like illness|i felt like I always had the flu
Myopathy|muscle damage
Lipitor|Lipitor
Myopathy|muscle damage
Myopathy|permanent damage to my muscles
Weakness of limb|Weakness in both legs
Hip pain|hip pain
Knee pain|knee pain
Foot pain|feet pain
Ankle pain|ankle pain
Low back pain|Lower back pain
Muscle weakness|Muscle weakness from the pevis down to my toes
Lipitor|Lipitor
Pain in lower limb|aches in legs
Weight gain|weight gain
Confusion|confusion
Depression|depression
Lipitor|LIPITOR
Mentally dull|feeling like my mind is fading away
Mentally dull|mentally weaker
lisinopril|Lisinopril
hydrochlorothiazide|Hydrochlorothiazide
Lipitor|Lipitor
Lipitor|Lipitor
Swollen ankle|swollen ankles
Swollen legs|swollen legs
Pain in lower limb|pain in my lower leg
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Swollen ankle|swollen ankles
Swollen legs|swollen legs
Pain in lower limb|pain in my lower leg
Lipitor|Lipitor
Lipitor|Lipitor
Liver enzymes abnormal|High Liver Enzyme Counts
Myalgia|Muscle Fatigue
Lipitor|Lipitor
Liver disease|damaged my liver permanently
Low back pain|Pain in lower back
Knee pain|Pain in knees
Pain in elbow|Pain in elbow
Hip pain|Pain in hip
Sacroiliac joint stiff|Stiffness in lower back
Stiff legs|Stiffness in legs
Impaired exercise tolerance|Excercise intolerance
Excessive upper gastrointestinal gas|general muscle weakness
Pain|pains
Lipitor|lipitor
Ankle pain|ankle pain
Neuropathy|neurophaty
Visual disturbance|vision problems
Tired|very tired
Myalgia|muscle pain
Severe pain|Severe pain
Muscle cramp|cramping
Muscle weakness|Muscle weakness
Muscle atrophy|atrophy
Weakness of limb|Weak & wobbley knees
Asthenia|Weak & wobbley wrists
Weakness of limb|Weak & wobbley ankles
Hand cramps|Cramping in wrists & hands
Fatigue|Constant fatigue
Insomnia|Insomnia
Insomnia|insomnia
Mentally dull|Mental fogginess
Forgetful|forgetfulness
Pancreatitis|Pancreatitis
Liver enzymes abnormal|Elevated liver enzymes
Steatosis of liver|fatty liver
Tight chest|Chest tightness
Dyspnoea|breathlessness
Difficulty swallowing|Difficulty swallowing
Congestion of throat|swelling in throat
Swollen nasal mucosa|Swollen nasal passages
ubidecarenone|Co Q 10
Aleve|allegra
Nexium|nexium
Insomnia|insomnia
Backache|back pain
Lipitor|Lipitor
Pravachol|pravachol
Lipitor|lipitor
Weakness of limb|weakness in back
Weakness of limb|weakness in my legs
Lipitor|Liptor
Glossitis|sore, tingly tongue(Glossitis)
Dizziness|dizzy spells
Headache|headaches
Difficulty sleeping|trouble sleeping
Lipitor|Lipitor
Excessive upper gastrointestinal gas|glossitis
Lipitor|Lipitor
Excessive upper gastrointestinal gas|glossitis
Headache|headaches
Dizziness|dizziness
Lipitor|Lipitor
Muscle cramp|muscle cramps
Tenalgia|tendon pain
Muscle rigidity|tightened muscles in neck
Acute pain|acute pain
Lipitor|Lipitor
Severe pain|very severe pains
Muscle cramp|very severe cramps
Lipitor|lipitor
Foot pain|foot pain
Pain in lower limb|shin pain
Knee pain|knee pain
Thigh pain|thigh pain
Hip pain|hip pain
Shoulder pain|shoulder pain
Pain in upper limb|arm pain
Hand pain|hand pain
Impairment of balance|balance problems
Clumsiness|clumsiness
Amnesia|memory loss
Bloating symptom|bloating
Flatulence/wind|flatulence
Lipitor|Lipitor
Efexor-XR|Effexor
Multiple sclerosis|Multiple Sclerosis
Encephalopathy|brain problems
Lipitor|Lipitor
Lipitor|Lipitor
Hip pain|hip pain
Pain in lower limb|leg pain
Foot pain|foot pain
Numbness|numbness
Nausea|nausia
Lipitor|lipitor
Pain|pains
Crestor|Crestor
Stomach ache|STOMACH PAIN
Backache|BACK PAIN
Dizziness|DIZZINESS
Swelling of upper limb|Swelling left arm
Itching|very severe itching
Itching|intolerable itching
Bizarre dreams|vivid weird dreams
Contusion of hand|large dark bruise on hand
Lipitor|LIPITOR
Ankle pain|ANKLE PAIN
Pain in calf|CALF PAIN
Thigh pain|THIGH PAIN
Generalised aches and pains|EVERYTHING ON MY BODY HURTS
Arthritis|ARTHRITIS
Lipitor|LIPITOR
Tired|VERY TIRED
Excessive upper gastrointestinal gas|General depression
Insomnia|severe insomnia
Asthenia|extreme fatigue
Poor short-term memory|short term memory loss
Muscle weakness|muscle weakness
Hip pain|hip pain
Cramp in foot|cramping in toes
Lipitor|lipitor
magnesium|magnesium
omega-3-acid ethyl esters-90|omega 3
olive oil|olive oil
Lipitor|lipitor
Fatigue|extreme tiredness
Excessive upper gastrointestinal gas|general feeling of malais
Lipitor|Lipitor
Cramp in lower limb|cramps in thigh
Lipitor|Lipitor
Pain in calf|pain in the lower legs
Muscle rigidity|muscles were very stiff
Lipitor|Lipitor
Pain|pain
Pain|pain
Severe pain|severe pain in the muscles in the shoulder area
Severe pain|severe pain in the upper back
Severe pain|severe pain in the neck
Neck pain|pain neck
Stiff neck|stiffness neck
Stress|stress
Lipitor|Lipitor
Neck pain|pain neck
Stiff neck|stiffness neck
Shoulder pain|pain in the shoulder
Backache|pain in the back
Lipitor|Lipitor
Lipitor|Lipitor
Pain|increasing pain
Knee stiff|stiffness at left knee
Swollen knee|swelling at knee
Asthenia|drained
Lipitor|Lipitor
Lipitor|Lipitor
Increased cholesterol esters|high cholesterol
Serum cholesterol raised|cholesterol is high
Increased cholesterol esters|high cholesterol
Lipitor|Lipitor
Lipitor|Lipitor
Increased cholesterol esters|high cholesterol
Migraine|migranes
Backache|back aches
Neck pain|sore neck
Pain|pains
Tired all the time|always tired
Lipitor|Lipitor
Severe pain|extreme leg pain
Weakness of limb|extreme leg weakness
Asthenia|weakness
Lipitor|Lipitor
Pain in lower limb|leg pain
Stiff neck|stiff neck
Diarrhoea|diarrhea
Clumsiness|clumsiness
Dizziness|dizziness
Depression|depression
Depression|Depression
Severe depression|severe depression
Myocardial infarction|heart attack
Malaise|Malaise
Exhaustion|exhaustion
Severe pain|severe muscle pain
Severe depression|severe depression
Anxiety|anxiety
Lipitor|Lipitor
Depression|depressed
Suicidal thoughts|thoughts about suicide
Lipitor|Lipitor
Pain in lower limb|leg pain
Myalgia|soreness in muscles
Tiredness symptom|tiredness
Pain in left leg|pain in my my left leg
Lipitor|lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor 20 mg tablet: film-coated|Lipitor 20mg
Joint stiffness|stiff joints
Arthralgia|achy joints
Stiffness|stiff
Myalgia|muscles pains
Heavy legs|lead legs
Neurontin|neurontin
Oxycontin|oxycotin
Xanax|zanax
Celebrex|celebrex
Lipitor|Lipitor
Fibromyalgia|fibromyalgia
Generalised aches and pains|pain all over my body
Lipitor|Lipitor
Lipitor|Lipitor
Fibromyalgia|fibromyalgia
Lipitor|Lipitor
Generalised aches and pains|body pain
Skin tenderness|tender to the touch
Pins and needles|weird toe tingling
Compression neuropathy of trunk|pinched nerve in my back
Myalgia|muscle pain
Lipitor|lipitor
Lipitor|lipitor
Severe pain|horrible pain in left knee
Severe pain|horrible pain in both shoulders
Lipitor|lipitor
Poor short-term memory|short term memory loss
Tires quickly|easily fatigued
Lipitor|lipitor
